"id";"titles";"price"
914;"Shiatzu: Japanese Finger Pressure by Yukiko Irwin";"$50"
915;"The Nude: A Study in Ideal Form by Kenneth M. Clark";"$8"
916;"Williams-Sonoma Cook books series";"$8"
917;"Directed by VINCENTE MINNELLI by Stephen Harvey";"$250"
918;"Brain Facts - A Primer on the Brain and Nervous System";"$250"
919;"America Through the Lens by Martin W. Sandler (Hardcover)";"$100"
920;"Management, Finance, Economics Books from the Economist";"$100"
921;"The Forgetting: Alzheimer&#39;s: Portrait of an Epidemic by David Shenk";"$300"
922;"Poland - Illustrated Hardcover Book with 100&#39;s of color pictures";"$300"
923;"Amazing Weekend Books - BACK TO SCHOOL";"$300"
924;"Forging a Metropolis: Walking Tours of Lower Manhattan Architecture";"$300"
925;"The Essential Talmud by Adin Steinsaltz";"$325"
926;"The Comprehensive Hebrew Calendar book";"$325"
927;"Three Great Jewish Plays by Joseph C. Landis";"$800"
928;"A Book of Jewish Concepts by Philip Birnbaum";"$800"
929;"Yiddishe Mamas : The Truth about the Jewish Mother";"$0"
930;"Just Say Nu: Yiddish for Every Occasion by Michael Wex";"$100"
931;"The Yiddish Policemen&#39;s Union:A Novel by Michael Chabon (Hardcover)";"$100"
932;"Prairie Traits of Miz Mac";"$135"
933;"Trump-Buffet-Obama-Robbins-Holden";"$135"
934;"Warren Buffett: The Snowball";"$100"
935;"This calls for a drink";"$100"
936;"2 marketing books";"$10"
937;"HIRSCHFELD ON-LINE  hardcovered";"$15"
938;"The Films of Charlie Chaplin";"$12"
939;"Windows XP for Dummies";"$10"
940;"MODIGLIANI by JEFFREY MEYERS";"$50"
941;"Smurf30s";"$50"
942;"Smurf30s";"$12"
943;"WEBSTERS NEW UNIVERSAL ENCYCLOPEDIA";"$12"
944;"Statistics For Dummies";"$15"
945;"People of Corn A Mayan Story";"$15"
946;"HTML for Babies Board book";"$0"
947;"The Origin of Life on Earth an African Creation Myth";"$0"
948;"HENRI MATISSE: A RETROSPECTIVE---TOTALLY UNUSED COPY";"$0"
949;"Revealing Rebellion in Abiayala by Hannah Burdette";"$0"
950;"Dude Lit: Mexican Men Writing and Performing Competence, 1955-2012";"$0"
951;"Calling the Soul Back by Christina Garcia Lopez";"$0"
952;"The Supernatural Sublime by Ra\xc3\xbal Rodr\xc3\xadguez-Hern\xc3\xa1ndez and Claudia Schae";"$10"
953;"The Rub of Time: Bellow, Nabokov, Hitchens, Travolta, Trump NEW book";"$60"
954;"This Woman&#39;s Work: The Writing and Activism of Bebe Moore Campbell";"$60"
955;"Faulkner and History by Jay Watson &amp; Thomas Jr., James G.";"$1"
956;"The Supernatural Sublime by Ra\xc3\xbal Rodr\xc3\xadguez-Hern\xc3\xa1ndez and Claudia Schae";"$25"
957;"Goodbye Christ?: Christianity, Masculinity, and the New Negro Renaissa";"$25"
958;"The Gyroscopic Transformation of Self Quest in W. B. Yeats&#39;s Poetry";"$5"
959;"Everywhere and Nowhere: Anonymity and Mediation in Eighteenth-Century";"$5"
960;"On the Threshold of Eurasia: Revolutionary Poetics in the Caucasus";"$3"
961;"Carol J. Adams: Animaladies - Gender, Animals, and Madness";"$3"
962;"Studies in Description: Reading Gertrude Stein&#39;s Tender Buttons";"$150"
963;"A Theology of Sense: John Updike, Embodiment, and Late Twentieth-Centu";"$150"
964;"Unbecoming Language: Anti-Identitarian French Feminist Fictions";"$125"
965;"Enduring Images: A Future History of New Left Cinema";"$125"
966;"The Great Minnesota Cookie Book: Award-Winning Recipes from the Star T";"$10"
967;"Defending the Public&#39;s Enemy The Life and Legacy of Ramsey Clark";"$5"
968;"Labor Pains: New Deal Fictions of Race, Work, and Sex in the South";"$5"
969;"The Supernatural Sublime by Ra\xc3\xbal Rodr\xc3\xadguez-Hern\xc3\xa1ndez and Claudia Schae";"$50"
970;"Toward a Living Architecture? by Christina Cogdell";"$50"
971;"Modernist Communities across Cultures and Media Caroline Pollentier";"$140"
972;"Methodological Advances in Experimental Philosophy (2019, Hardcover)";"$140"
973;"Climate Change Scepticism: A Transnational Ecocritical Analysis NEW";"$75"
974;"Summa Technologiae by Stanislaw Lem";"$75"
975;"Loathsome Jews and Engulfing Women Andrea Freud Loewenstein";"$150"
976;"Canadian Battlefields of the Second World War : Dieppe, D-Day";"$150"
977;"Faulkner and History by Jay Watson &amp; Thomas Jr., James G.";"$25"
978;"I Know You Know by Gilly Macmillan novel";"$25"
979;"Wilbur Smith: Rage (9781499860764 paperback)";"$15"
980;"Murray Talks Music Albert Murray on Jazz and Blues paperback";"$15"
981;"Salvador Dali calendar 1996";"$5"
982;"Chronicle of 20th century";"$5"
983;"Salvador Dali calendar 1996";"$190"
984;"COOKBOOKS GALORE.  Take One. Take &#39;em All!";"$190"
985;"SNAKEOPEDIA: The Complete Guide to Everything Snake";"$20"
986;"A Great Classic for Children - ANNE of GREEN GABLES";"$20"
987;"LEARNING FUNCTIONAL WORDS &amp; PHRASES FOR EVERYDAY LIVING";"$5"
988;"GHOST STORIES of NEW YORK STATE";"$5"
989;"RENOIR Life and Works purchased in National Gallery London";"$20"
990;"Antique Music Books - The Beauties of Handel in 2 vol-1805";"$20"
991;"The FOLK MUSIC SOURCEBOOK - From 1976 - First Edition";"$15"
992;"National Lampoon collection";"$15"
993;"All My Children : The Complete Family Scrapbook";"$5"
994;"The Artists Colony, Safad";"$5"
995;"Frank Sinatra Book, Tribute Magazine";"$5"
996;"318 Nautical Books, New Condition";"$10"
997;"PRAGUE travel books---current dates";"$10"
998;"ART TREASURES in FLORENCE MUSEUMS CHURCHES PALACES";"$5"
999;"RENOIR Life and Works purchased in National Gallery London";"$5"
