"id";"titles";"price"
196;"The Third Avenue El Demolition in the Bronx - Tremont to Gun Hill";"$50"
197;"The Third Avenue El Demolition in the Bronx-149th St. to Tremont Ave.";"$0"
198;"More Third Avenue El Demolition in the Bronx Volume 1";"$0"
199;"Cookbooks";"$30"
200;"BCW Comic Bin";"$30"
201;"UpScale Thrift store NEW 30,000 years of Art";"$30"
202;"Colour Science by Wilhelm Ostwald";"$30"
203;"Christmas Cookbooks &amp; Christmas Music CD";"$850"
204;"Kawanzaa Eric Y. Copage";"$850"
205;"Soap Opera Digest signed Les Brandtl";"$2"
206;"hebrew books seforim";"$100"
207;"More Variety Than Barnes &amp; Noble.....Cheaper Too!";"$100"
208;"Lots of books";"$100"
209;"playboy collection";"$100"
210;"books, magazine, see below";"$10"
211;"THE DESCENT OF MAN by CHARLES DARWIN, 1874";"$10"
212;"The Paris Review Spring 2013";"$1"
213;"danielle steel novels for sale";"$1"
214;"Bassplayer magazines for sale";"$5"
215;"music books for sale";"$5"
216;"ARTS &amp; ARCHITECTURE 1950";"$175"
217;"&quot;STREET SKETCH BOOK&quot;";"$175"
218;"Old Illustrated Childrens Books";"$20"
219;"Old Books";"$20"
220;"German Language Books";"$50"
221;"CDL MOTORCYCLE DRIVING EXAM!";"$50"
222;"CDL QUESTIONS AND ANSWERS CDL MOTORCYCLE DRIVING PERMIT EXAM";"$15"
223;"CDL QUESTIONS AND ANSWERS CDL MOTORCYCLE DRIVING PERMIT EXAM";"$15"
224;"CDL MOTORCYCL DRIVING PERMIT EXAM GURANTEE PASSING CALL ME NOW";"$45"
225;"New German Cinema - Herzog, Fassbinder, Wenders and Schlondorff";"$45"
226;"1949 The Giant Picture Dictionary for Boys and Girls";"$0"
227;"MacMillan&#39;s Pocket American and English Classics -Old Books 1905";"$0"
228;"Doggie bags";"$25"
229;"Webster&#39;s New World Dictionary of American English,hardcover,college";"$0"
230;"1937 - The Complete Works of William Shakespeare";"$15"
231;"Huge selection of classical books and LPs";"$15"
